,PassengerId,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,passenger_group,passenger_number_in_group,total_luxury_amenities,deck,num,side,first name,last name,HomePlanet
0,0001_01,False,B/0/P,TRAPPIST-1e,39,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,1,0.0,B,0,P,Maham,Ofracculy,Europa
1,0002_01,False,F/0/S,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Juanna Vines,True,2,1,736.0,F,0,S,Juanna,Vines,Earth
2,0003_01,False,A/0/S,TRAPPIST-1e,58,True,0.0,0.0,0.0,0.0,0.0,Altark Susent,False,3,1,10383.0,A,0,S,Altark,Susent,Europa
3,0003_02,False,A/0/S,TRAPPIST-1e,33,False,0.0,0.0,0.0,0.0,0.0,Solam Susent,False,3,2,5176.0,A,0,S,Solam,Susent,Europa
4,0004_01,False,F/1/S,TRAPPIST-1e,16,False,0.0,0.0,0.0,0.0,0.0,Willy Santantines,True,4,1,1091.0,F,1,S,Willy,Santantines,Earth
5,0005_01,False,F/0/P,PSO J318.5-22,44,False,0.0,0.0,0.0,0.0,0.0,Sandie Hinetthews,True,5,1,774.0,F,0,P,Sandie,Hinetthews,Earth
6,0006_01,False,F/2/S,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Billex Jacostaffey,True,6,1,1584.0,F,2,S,Billex,Jacostaffey,Earth
7,0006_02,True,G/0/S,TRAPPIST-1e,28,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,6,2,0.0,G,0,S,Candra,Jacostaffey,Earth
8,0007_01,False,F/3/S,TRAPPIST-1e,35,False,0.0,0.0,0.0,0.0,0.0,Andona Beston,True,7,1,1018.0,F,3,S,Andona,Beston,Earth
9,0008_01,True,B/1/P,55 Cancri e,14,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,8,1,0.0,B,1,P,Erraiam,Flatic,Europa
