PassengerId,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,passenger_group,passenger_number_in_group,total_luxury_amenities,deck,num,side,first name,last name,group_size,HomePlanet,cabin_number_distribution_chunk
0001_01,False,TRAPPIST-1e,39,False,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,1,1,0.0,B,0,P,Maham,Ofracculy,1,Europa,chunk1
0002_01,False,TRAPPIST-1e,24,False,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,2,1,736.0,F,0,S,Juanna,Vines,1,Earth,chunk1
0003_01,False,TRAPPIST-1e,58,True,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,3,1,10383.0,A,0,S,Altark,Susent,2,Europa,chunk1
0003_02,False,TRAPPIST-1e,33,False,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,3,2,5176.0,A,0,S,Solam,Susent,2,Europa,chunk1
0004_01,False,TRAPPIST-1e,16,False,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,4,1,1091.0,F,1,S,Willy,Santantines,1,Earth,chunk1
0005_01,False,PSO J318.5-22,44,False,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,5,1,774.0,F,0,P,Sandie,Hinetthews,1,Earth,chunk1
0006_01,False,TRAPPIST-1e,26,False,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,6,1,1584.0,F,2,S,Billex,Jacostaffey,2,Earth,chunk1
0006_02,True,TRAPPIST-1e,28,False,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,6,2,0.0,G,0,S,Candra,Jacostaffey,2,Earth,chunk1
0007_01,False,TRAPPIST-1e,35,False,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,7,1,1018.0,F,3,S,Andona,Beston,1,Earth,chunk1
0008_01,True,55 Cancri e,14,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,8,1,0.0,B,1,P,Erraiam,Flatic,3,Europa,chunk1
0008_02,True,TRAPPIST-1e,34,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,8,2,0.0,B,1,P,Altardr,Flatic,3,Europa,chunk1
0008_03,False,55 Cancri e,45,False,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8,3,8157.0,B,1,P,Wezena,Flatic,3,Europa,chunk1
0009_01,False,TRAPPIST-1e,32,False,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,9,1,1309.0,F,1,P,Berers,Barne,1,Mars,chunk1
0010_01,False,TRAPPIST-1e,48,False,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,10,1,809.0,G,1,S,Reney,Baketton,1,Earth,chunk1
0011_01,False,TRAPPIST-1e,28,False,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,11,1,1003.0,F,2,P,Elle,Bertsontry,1,Earth,chunk1
0012_01,False,TRAPPIST-1e,31,False,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,12,1,908.0,G,160,P,Justie,Pooles,1,Earth,chunk1
0014_01,False,55 Cancri e,27,False,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False,14,1,1408.0,F,3,P,Flats,Eccle,1,Mars,chunk1
0015_01,False,55 Cancri e,24,False,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,15,1,638.0,F,4,P,Carry,Hughriend,1,Earth,chunk1
0016_01,True,TRAPPIST-1e,45,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,16,1,0.0,F,5,P,Alus,Upead,1,Mars,chunk1
0017_01,False,TRAPPIST-1e,0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,17,1,0.0,G,0,P,Lyde,Brighttt,2,Earth,chunk1
0017_02,False,55 Cancri e,14,False,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,17,2,1092.0,F,6,P,Philda,Brighttt,2,Earth,chunk1
0020_01,True,TRAPPIST-1e,1,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,20,1,0.0,E,0,S,Almary,Brantuarez,6,Earth,chunk1
0020_02,True,55 Cancri e,49,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,20,2,0.0,E,0,S,Glendy,Brantuarez,6,Earth,chunk1
0020_03,True,55 Cancri e,29,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,20,3,0.0,E,0,S,Mollen,Mcfaddennon,6,Earth,chunk1
0020_04,False,TRAPPIST-1e,10,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,20,4,0.0,E,0,S,Breney,Jacostanley,6,Earth,chunk1
0020_05,True,PSO J318.5-22,1,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,20,5,0.0,E,0,S,Mael,Brantuarez,6,Earth,chunk1
0020_06,False,TRAPPIST-1e,7,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,20,6,0.0,E,0,S,Terta,Mcfaddennon,6,Earth,chunk1
0022_01,False,TRAPPIST-1e,21,False,980.0,2.0,69.0,0.0,0.0,,False,22,1,1051.0,D,0,P,,,1,Mars,chunk1
0024_01,True,TRAPPIST-1e,62,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,24,1,0.0,C,2,S,Penton,Fullided,1,Europa,chunk1
0025_01,False,TRAPPIST-1e,15,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,25,1,1223.0,F,6,S,Karard,Brookenson,1,Earth,chunk1
0026_01,False,55 Cancri e,34,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,26,1,7861.0,C,0,P,Anyoni,Unconary,1,Europa,chunk1
0028_01,False,TRAPPIST-1e,43,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,28,1,1309.0,F,8,P,Ceros,Mare,1,Mars,chunk1
0030_01,False,TRAPPIST-1e,32,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,30,1,1821.0,G,4,S,Ginia,Morsentley,1,Earth,chunk1
0031_01,False,TRAPPIST-1e,47,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,31,1,2854.0,F,9,P,Coobix,Datie,3,Mars,chunk1
0031_02,False,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,31,2,0.0,F,9,P,Cinets,Datie,3,Mars,chunk1
0031_03,False,TRAPPIST-1e,20,False,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,True,31,3,2740.0,F,9,P,Dontch,Datie,3,Mars,chunk1
0034_01,True,55 Cancri e,28,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,34,1,0.0,D,1,S,Ziba,Oingwhedly,1,Europa,chunk1
0035_01,False,55 Cancri e,23,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,35,1,2699.0,D,1,P,Luse,Butte,1,Mars,chunk1
0036_01,False,55 Cancri e,15,False,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,36,1,961.0,F,8,S,Marina,Leodger,1,Earth,chunk1
0038_01,False,55 Cancri e,20,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,38,1,3355.0,F,10,S,Loise,Wheelez,1,Earth,chunk1
0039_01,True,55 Cancri e,30,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,39,1,0.0,G,1,P,Jorgie,Batthewitt,1,Earth,chunk1
0041_01,True,TRAPPIST-1e,17,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,41,1,0.0,G,2,P,Margia,Moodsey,1,Earth,chunk1
0043_01,False,TRAPPIST-1e,45,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,43,1,3575.0,B,3,P,Ankalik,Cylistrand,1,Europa,chunk1
0044_01,True,TRAPPIST-1e,55,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,44,1,0.0,G,3,P,Jodye,Coopelandez,3,Earth,chunk1
0044_02,True,55 Cancri e,4,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,44,2,0.0,G,3,P,Kayne,Coopelandez,3,Earth,chunk1
0044_03,True,PSO J318.5-22,21,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,44,3,0.0,G,3,P,Cassa,Coopelandez,3,Earth,chunk1
0045_01,False,TRAPPIST-1e,21,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,45,1,1214.0,F,10,P,Zelowl,Chmad,2,Mars,chunk1
0045_02,True,TRAPPIST-1e,19,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,45,2,0.0,F,10,P,Mass,Chmad,2,Mars,chunk1
0050_01,False,55 Cancri e,35,False,790.0,0.0,0.0,0.0,0.0,Sony Lancis,False,50,1,790.0,E,1,S,Sony,Lancis,1,Earth,chunk1
0051_01,False,TRAPPIST-1e,56,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,51,1,1618.0,E,2,S,Vivia,Johnshines,1,Earth,chunk1
0052_01,False,TRAPPIST-1e,27,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,52,1,4689.0,G,6,S,Elaney,Hubbarton,1,Earth,chunk1
0053_01,False,TRAPPIST-1e,25,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,53,1,1939.0,F,11,S,Elson,Hickerson,1,Earth,chunk1
0056_01,False,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,56,1,0.0,A,1,S,Okulas,Tractive,3,Europa,chunk1
0056_02,True,TRAPPIST-1e,38,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,56,2,0.0,A,1,S,Instab,Tractive,3,Europa,chunk1
0056_03,False,TRAPPIST-1e,27,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,56,3,4547.0,A,1,S,Zinoces,Tractive,3,Europa,chunk1
0058_01,True,PSO J318.5-22,36,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,58,1,0.0,G,7,S,Warry,Ayalazquez,1,Earth,chunk1
0061_01,False,TRAPPIST-1e,22,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,61,1,2667.0,F,12,S,Shanya,Salez,1,Earth,chunk1
0062_01,False,TRAPPIST-1e,62,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,62,1,634.0,F,13,S,Sterry,Greeves,1,Earth,chunk1
0064_01,True,TRAPPIST-1e,15,False,0.0,0.0,0.0,0.0,0.0,,True,64,1,0.0,F,14,S,,,2,Mars,chunk1
0064_02,True,TRAPPIST-1e,33,False,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True,64,2,0.0,E,3,S,Colatz,Keen,2,Mars,chunk1
0066_01,False,TRAPPIST-1e,62,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,66,1,811.0,G,6,P,Diandy,Pecketton,1,Earth,chunk1
0067_01,True,PSO J318.5-22,0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,67,1,0.0,G,10,S,Ninaha,Leeves,3,Earth,chunk1
0067_02,False,TRAPPIST-1e,18,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,67,2,705.0,G,10,S,Celine,Leeves,3,Earth,chunk1
0067_03,False,55 Cancri e,21,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,67,3,2007.0,F,15,S,Velyne,Leeves,3,Earth,chunk1
0068_01,False,TRAPPIST-1e,27,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,68,1,1048.0,E,4,S,Cinst,Binie,1,Mars,chunk1
0069_01,False,TRAPPIST-1e,42,False,887.0,0.0,9.0,6.0,0.0,,True,69,1,902.0,F,16,S,,,1,Earth,chunk1
0070_01,False,TRAPPIST-1e,19,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,70,1,922.0,F,13,P,Meremy,Brighttt,1,Earth,chunk1
0071_01,False,TRAPPIST-1e,17,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,71,1,2233.0,F,14,P,Nelly,Dillines,1,Earth,chunk1
0072_01,False,TRAPPIST-1e,14,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,72,1,1064.0,F,17,S,Thell,Brantuarez,1,Earth,chunk1
0073_01,False,PSO J318.5-22,37,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,73,1,879.0,D,3,P,Gorn,Make,1,Mars,chunk1
0074_01,False,TRAPPIST-1e,42,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,74,1,8904.0,C,3,S,Aldibah,Mostedry,1,Europa,chunk1
0076_01,False,TRAPPIST-1e,27,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,76,1,1165.0,F,18,S,Conk,Dal,1,Mars,chunk1
0077_01,False,TRAPPIST-1e,28,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,77,1,1309.0,F,15,P,Pon,Blité,1,Mars,chunk1
0078_01,False,TRAPPIST-1e,38,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,78,1,15815.0,C,4,S,Spuri,Pokerheed,1,Europa,chunk1
0081_01,True,TRAPPIST-1e,13,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,81,1,0.0,G,13,S,Dellie,Vinozarks,1,Earth,chunk1
0082_01,False,TRAPPIST-1e,42,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,82,1,7406.0,F,16,P,Totse,Datte,3,Mars,chunk1
0082_02,True,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,82,2,0.0,F,16,P,Eaturs,Datte,3,Mars,chunk1
0082_03,False,TRAPPIST-1e,8,False,0.0,0.0,0.0,0.0,0.0,,True,82,3,0.0,F,16,P,,,3,Mars,chunk1
0084_01,False,TRAPPIST-1e,24,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,84,1,705.0,G,14,S,Coren,Coopezmaney,1,Earth,chunk1
0085_01,True,TRAPPIST-1e,40,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,85,1,0.0,C,5,S,Furudah,Ellcefulve,1,Europa,chunk1
0086_01,False,TRAPPIST-1e,43,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,86,1,1362.0,F,17,P,Jodye,Kinson,1,Earth,chunk1
0088_01,True,PSO J318.5-22,45,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,88,1,0.0,E,5,S,Stmeal,Sacre,1,Mars,chunk1
0090_01,True,TRAPPIST-1e,35,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,90,1,0.0,G,15,S,Heremy,Santry,1,Earth,chunk1
0091_01,True,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True,91,1,0.0,G,16,S,Deanne,Yorkland,2,Earth,chunk1
0091_02,False,TRAPPIST-1e,27,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,91,2,917.0,F,20,S,Tinez,Yorkland,2,Earth,chunk1
0092_01,False,TRAPPIST-1e,19,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,92,1,705.0,G,9,P,Gracy,Dunnisey,3,Earth,chunk1
0092_02,True,TRAPPIST-1e,0,False,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True,92,2,0.0,G,9,P,Stald,Hewson,3,Earth,chunk1
0092_03,True,TRAPPIST-1e,3,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,92,3,0.0,G,9,P,Tiney,Hewson,3,Earth,chunk1
0097_01,False,TRAPPIST-1e,54,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,97,1,1848.0,A,2,S,Alchium,Fictful,1,Europa,chunk1
0098_01,False,TRAPPIST-1e,26,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,98,1,893.0,G,11,P,Doria,Carezquez,2,Earth,chunk1
0098_02,False,TRAPPIST-1e,26,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,98,2,3855.0,G,11,P,Leence,Carezquez,2,Earth,chunk1
0099_01,False,PSO J318.5-22,23,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,99,1,1301.0,F,19,P,Aliey,Leetersoney,2,Earth,chunk1
0099_02,False,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,99,2,0.0,G,12,P,Thewis,Connelson,2,Earth,chunk1
0101_01,True,TRAPPIST-1e,31,False,0.0,0.0,0.0,0.0,0.0,Book Trad,True,101,1,0.0,G,160,P,Book,Trad,1,Mars,chunk1
0102_01,False,TRAPPIST-1e,18,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,102,1,921.0,F,23,S,Ritany,Holson,1,Earth,chunk1
0103_01,False,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,True,103,1,17.0,F,24,S,Arlen,Mclainez,3,Earth,chunk1
0103_02,True,55 Cancri e,9,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,103,2,0.0,G,18,S,Shaele,Mclainez,3,Earth,chunk1
0103_03,True,TRAPPIST-1e,6,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,103,3,0.0,G,18,S,Fanne,Mclainez,3,Earth,chunk1
0105_01,False,TRAPPIST-1e,27,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False,105,1,703.0,F,21,P,Carry,Cleachrand,1,Earth,chunk1
0107_01,False,TRAPPIST-1e,21,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,107,1,1765.0,D,2,S,Coobix,Hart,1,Mars,chunk1
0108_01,True,TRAPPIST-1e,23,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,108,1,0.0,G,19,S,Natald,Handertiz,3,Earth,chunk1
0108_02,False,TRAPPIST-1e,31,False,562.0,0.0,326.0,0.0,0.0,,False,108,2,888.0,G,19,S,,,3,Earth,chunk1
0108_03,False,TRAPPIST-1e,0,False,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,108,3,0.0,G,19,S,Oline,Handertiz,3,Earth,chunk1
0110_01,False,TRAPPIST-1e,32,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,110,1,5109.0,G,160,P,Graviph,Aloubtled,4,Europa,chunk1
0110_02,False,TRAPPIST-1e,40,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,110,2,2018.0,B,5,P,Aldeba,Bootious,4,Europa,chunk1
0110_03,False,TRAPPIST-1e,42,False,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,110,3,15940.0,B,5,P,Alaratz,Aloubtled,4,Europa,chunk1
0110_04,True,TRAPPIST-1e,28,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,110,4,0.0,B,5,P,Izark,Aloubtled,4,Europa,chunk1
0111_01,True,TRAPPIST-1e,29,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,111,1,0.0,E,6,S,Aldera,Supred,1,Europa,chunk1
0112_01,False,55 Cancri e,48,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,112,1,2654.0,B,1,S,Moth,Cowtale,1,Europa,chunk1
0113_01,False,TRAPPIST-1e,64,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,113,1,804.0,F,23,P,Idary,Carvis,1,Earth,chunk1
0114_01,False,TRAPPIST-1e,27,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,114,1,907.0,G,20,S,Maura,Beckerson,1,Earth,chunk1
0115_01,False,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True,115,1,0.0,F,24,P,Rohs,Pead,1,Mars,chunk1
0116_01,False,TRAPPIST-1e,33,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,116,1,2640.0,D,4,P,Alhenah,Suptive,1,Europa,chunk1
0119_01,False,TRAPPIST-1e,39,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,119,1,9307.0,A,0,P,Batan,Coning,2,Europa,chunk1
0119_02,True,TRAPPIST-1e,13,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,119,2,0.0,A,0,P,Kleeiak,Coning,2,Europa,chunk1
0120_01,True,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Bees Sacre,True,120,1,0.0,F,25,P,Bees,Sacre,1,Mars,chunk1
0122_01,False,TRAPPIST-1e,29,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,False,122,1,773.0,G,21,S,Shelle,Hayder,1,Earth,chunk1
